16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
9, 0
9, 0
33, 0
33, 0
12, 0
9, 0
9, 0
33, 0
33, 0
12, 0
9, 0
9, 0
33, 0
33, 0
12, 0
9, 0
9, 0
33, 0
33, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
19, 0
19, 0
43, 0
43, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
9, 0
9, 0
33, 0
33, 0
12, 0
9, 0
9, 0
33, 0
33, 0
12, 0
9, 0
9, 0
33, 0
33, 0
12, 0
9, 0
9, 0
33, 0
33, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
5, 0
5, 0
16, 0
30, 0
30, 0
4, 0
4, 0
23, 0
50, 0
50, 0
19, 0
22, 0
22, 0
62, 0
62, 0
18, 0
34, 0
34, 0
80, 0
80, 0
18, 0
14, 0
14, 0
60, 0
60, 0
19, 0
34, 0
34, 0
74, 0
74, 0
19, 0
10, 0
10, 0
50, 0
50, 0
18, 0
24, 0
24, 0
70, 0
70, 0
4, 0
4, 0
23, 0
50, 0
50, 0
19, 0
22, 0
22, 0
62, 0
62, 0
18, 0
34, 0
34, 0
80, 0
80, 0
18, 0
14, 0
14, 0
60, 0
60, 0
19, 0
34, 0
34, 0
74, 0
74, 0
19, 0
10, 0
10, 0
50, 0
50, 0
18, 0
24, 0
24, 0
70, 0
70, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
23, 0
50, 0
50, 0
19, 0
16, 0
16, 0
56, 0
56, 0
18, 0
24, 0
24, 0
70, 0
70, 0
19, 0
40, 0
40, 0
80, 0
80, 0
19, 0
10, 0
10, 0
50, 0
50, 0
18, 0
19, 0
19, 0
65, 0
65, 0
19, 0
34, 0
34, 0
74, 0
74, 0
4, 0
4, 0
22, 0
44, 0
44, 0
18, 0
14, 0
14, 0
60, 0
60, 0
19, 0
28, 0
28, 0
68, 0
68, 0
18, 0
34, 0
34, 0
80, 0
80, 0
18, 0
9, 0
9, 0
55, 0
55, 0
19, 0
22, 0
22, 0
62, 0
62, 0
18, 0
29, 0
29, 0
75, 0
75, 0
4, 0
4, 0
23, 0
50, 0
50, 0
19, 0
22, 0
22, 0
62, 0
62, 0
18, 0
34, 0
34, 0
80, 0
80, 0
18, 0
14, 0
14, 0
60, 0
60, 0
19, 0
34, 0
34, 0
74, 0
74, 0
19, 0
10, 0
10, 0
50, 0
50, 0
18, 0
24, 0
24, 0
70, 0
70, 0
4, 0
4, 0
23, 0
50, 0
50, 0
19, 0
22, 0
22, 0
62, 0
62, 0
18, 0
34, 0
34, 0
80, 0
80, 0
18, 0
14, 0
14, 0
60, 0
60, 0
19, 0
34, 0
34, 0
74, 0
74, 0
19, 0
10, 0
10, 0
50, 0
50, 0
18, 0
24, 0
24, 0
70, 0
70, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
10, 0
13, 0
13, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
24, 0
24, 0
58, 0
58, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
24, 0
24, 0
58, 0
58, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
24, 0
24, 0
58, 0
58, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
24, 0
24, 0
58, 0
58, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
4, 0
4, 0
18, 0
33, 0
33, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
9, 0
9, 0
38, 0
38, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
14, 0
14, 0
43, 0
43, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
19, 0
19, 0
48, 0
48, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
14, 0
24, 0
24, 0
53, 0
53, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
16, 0
9, 0
9, 0
43, 0
43, 0
16, 0
9, 0
9, 0
43, 0
43, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
19, 0
19, 0
53, 0
53, 0
16, 0
19, 0
19, 0
53, 0
53, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
29, 0
29, 0
63, 0
63, 0
16, 0
29, 0
29, 0
63, 0
63, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
16, 0
9, 0
9, 0
43, 0
43, 0
16, 0
9, 0
9, 0
43, 0
43, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
14, 0
14, 0
48, 0
48, 0
16, 0
19, 0
19, 0
53, 0
53, 0
16, 0
19, 0
19, 0
53, 0
53, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
24, 0
24, 0
58, 0
58, 0
16, 0
29, 0
29, 0
63, 0
63, 0
16, 0
29, 0
29, 0
63, 0
63, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
20, 0
38, 0
38, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
4, 0
4, 0
12, 0
18, 0
18, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
8, 0
9, 0
9, 0
23, 0
23, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
4, 0
4, 0
16, 0
28, 0
28, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
12, 0
14, 0
14, 0
38, 0
38, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
4, 0
4, 0
14, 0
23, 0
23, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
9, 0
9, 0
28, 0
28, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
14, 0
33, 0
33, 0
10, 0
14, 0
